train_sigma,seed,method,epoch,train_loss,val_loss
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,45,0.11561750248462976,0.17506366968154907
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,46,0.115351163684908,0.17390364408493042
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,47,0.11511273271331675,0.1770990639925003
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,48,0.1148390784251707,0.17627254128456116
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,49,0.1145104579388192,0.17543217539787292
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,50,0.11423260480171844,0.17751547694206238
train_sigma_0.01,seed123,semi_supervised,1,0.6158683447862582,0.4200601279735565
train_sigma_0.01,seed123,semi_supervised,2,0.532818157856417,0.39189162850379944
train_sigma_0.01,seed123,semi_supervised,3,0.4558120927121847,0.36643898487091064
train_sigma_0.01,seed123,semi_supervised,4,0.3860722638246353,0.3099094033241272
train_sigma_0.01,seed123,semi_supervised,5,0.27589296372614863,0.19198772311210632
train_sigma_0.01,seed123,semi_supervised,6,0.16921895769479298,0.18774428963661194
train_sigma_0.01,seed123,semi_supervised,7,0.1606550635050009,0.17820994555950165
train_sigma_0.01,seed123,semi_supervised,8,0.15318827712359487,0.17886991798877716
train_sigma_0.01,seed123,semi_supervised,9,0.14930746986764573,0.171828955411911
train_sigma_0.01,seed123,semi_supervised,10,0.1458452779112493,0.17027157545089722
train_sigma_0.01,seed123,semi_supervised,11,0.14247916411835895,0.16579106450080872
train_sigma_0.01,seed123,semi_supervised,12,0.13918966282713174,0.1606081873178482
train_sigma_0.01,seed123,semi_supervised,13,0.1360605208578169,0.15862947702407837
train_sigma_0.01,seed123,semi_supervised,14,0.1331516301645445,0.15560002624988556
train_sigma_0.01,seed123,semi_supervised,15,0.13069355935169386,0.15128207206726074
train_sigma_0.01,seed123,semi_supervised,16,0.12874188958349464,0.1490725725889206
